Shipment ID,Sales Person,Product,Country,Date,Amount,Boxes,Order Status
S0000-00197,SP16,P12,G4,2-Jan-23,7681.5,285,Delivered
S0000-00198,SP16,P06,G2,2-Jan-23,279,18,Delivered
S0000-00202,SP17,P15,G4,2-Jan-23,3458.25,193,Delivered
S0000-00207,SP17,P03,G3,2-Jan-23,4324.5,309,Delivered
S0000-00211,SP17,P22,G1,2-Jan-23,4684.5,188,Cancelled
S0000-00216,SP18,P10,G4,2-Jan-23,7029,541,Delivered
S0000-00220,SP18,P20,G4,2-Jan-23,825.75,44,Delivered
S0000-00222,SP18,P05,G2,2-Jan-23,9049.5,503,Delivered
S0000-00226,SP18,P15,G4,2-Jan-23,49.5,3,Delivered
S0000-00227,SP18,P06,G5,2-Jan-23,9771.75,698,Delivered
S0000-00228,SP18,P11,G4,2-Jan-23,1104.75,85,Delivered
S0000-00230,SP19,P06,G1,2-Jan-23,11247.75,750,Delivered
S0000-00234,SP19,P08,G5,2-Jan-23,103.5,13,Delivered
S0000-00239,SP19,P16,G5,2-Jan-23,4306.5,216,Delivered
S0000-00243,SP19,P17,G4,2-Jan-23,481.5,18,Delivered
S0000-00248,SP19,P06,G5,2-Jan-23,837,60,Delivered
S0000-00251,SP19,P10,G2,2-Jan-23,3129.75,261,Delivered
S0000-00254,SP20,P10,G1,2-Jan-23,6887.25,627,Delivered
S0000-00257,SP20,P17,G1,2-Jan-23,9627.75,402,Cancelled
S0000-00259,SP20,P16,G2,2-Jan-23,4936.5,225,Delivered
S0000-00264,SP21,P07,G1,2-Jan-23,7053.75,353,Delivered
S0000-00267,SP21,P06,G6,2-Jan-23,6338.25,488,Delivered
S0000-00268,SP22,P10,G2,2-Jan-23,4583.25,417,Delivered
S0000-00273,SP22,P17,G4,2-Jan-23,3384,136,Delivered
S0000-00278,SP22,P11,G3,2-Jan-23,9805.5,701,Delivered
S0000-00282,SP22,P10,G4,2-Jan-23,5184,432,Delivered
S0000-00285,SP22,P19,G5,2-Jan-23,8997.75,347,Delivered
S0000-00286,SP22,P21,G4,2-Jan-23,742.5,62,Delivered
S0000-00291,SP22,P17,G4,2-Jan-23,7722,322,Delivered
S0000-00293,SP23,P16,G5,2-Jan-23,4257,203,Delivered
S0000-00298,SP23,P08,G2,2-Jan-23,128.25,26,Delivered
S0000-00300,SP23,P01,G1,2-Jan-23,4392,400,Delivered
S0000-00305,SP23,P04,G5,2-Jan-23,5098.5,464,Delivered
S0000-00308,SP23,P20,G4,2-Jan-23,9834.75,518,Delivered
S0000-00313,SP23,P03,G1,2-Jan-23,4772.25,341,Delivered
S0000-00314,SP23,P20,G5,2-Jan-23,5622.75,282,Delivered
S0000-00318,SP24,P19,G1,2-Jan-23,4772.25,199,Delivered
S0000-00323,SP24,P18,G6,2-Jan-23,6624,255,Cancelled
S0000-00326,SP24,P16,G4,2-Jan-23,13990.5,636,Delivered
S0000-00329,SP24,P16,G2,2-Jan-23,15212.25,761,Delivered
S0000-00333,SP24,P03,G5,2-Jan-23,2382.75,171,Delivered
S0000-00338,SP24,P03,G5,2-Jan-23,1131.75,71,Delivered
S0000-00341,SP25,P18,G5,2-Jan-23,4907.25,189,Delivered
S0000-00345,SP25,P07,G6,2-Jan-23,5906.25,311,Delivered
S0000-00348,SP25,P20,G4,2-Jan-23,434.25,23,Delivered
S0000-00350,SP02,P10,G4,2-Jan-23,5728.5,319,Delivered
S0000-00351,SP02,P13,G1,2-Jan-23,5546.25,925,Delivered
S0000-00355,SP03,P19,G4,2-Jan-23,2763,111,Delivered
S0000-00357,SP03,P06,G6,2-Jan-23,8223.75,294,Delivered
S0000-00360,SP04,P10,G3,2-Jan-23,5841,325,Delivered
S0000-00365,SP04,P17,G6,2-Jan-23,12078,1510,Delivered
S0000-00367,SP04,P21,G2,2-Jan-23,7575.75,474,Delivered
S0000-00371,SP04,P08,G3,2-Jan-23,2794.5,233,Delivered
S0000-00373,SP04,P10,G5,2-Jan-23,5766.75,361,Delivered
S0000-00377,SP04,P08,G2,2-Jan-23,3759.75,314,Delivered
S0000-00379,SP05,P21,G1,2-Jan-23,3775.5,236,Delivered
S0000-00382,SP05,P09,G6,2-Jan-23,5031,296,Delivered
S0000-00385,SP06,P07,G6,2-Jan-23,8741.25,583,Delivered
S0000-00390,SP06,P19,G2,2-Jan-23,571.5,25,Delivered
S0000-00391,SP06,P02,G1,2-Jan-23,695.25,41,Cancelled
S0000-00393,SP07,P07,G1,2-Jan-23,108,8,Delivered
S0000-00396,SP07,P22,G5,2-Jan-23,839.25,42,Delivered
S0000-00398,SP07,P07,G1,2-Jan-23,6097.5,382,Delivered
S0000-00403,SP07,P02,G1,2-Jan-23,6759,356,Cancelled
S0000-00406,SP08,P06,G3,2-Jan-23,6828.75,253,Delivered
S0000-00411,SP08,P19,G2,2-Jan-23,8658,333,Cancelled
S0000-00414,SP08,P06,G3,2-Jan-23,7769.25,278,Delivered
S0000-00418,SP08,P12,G6,2-Jan-23,8739,460,Delivered
S0000-00422,SP08,P08,G1,2-Jan-23,16956,1413,Delivered
S0000-00426,SP08,P14,G6,2-Jan-23,1442.25,91,Delivered
S0000-00431,SP08,P22,G6,2-Jan-23,12399.75,730,Delivered
S0000-00436,SP08,P08,G1,2-Jan-23,155.25,15,Delivered
S0000-00438,SP09,P13,G6,2-Jan-23,4065.75,509,Delivered
S0000-00439,SP09,P18,G1,2-Jan-23,6799.5,272,Delivered
S0000-00440,SP10,P22,G3,2-Jan-23,4887,288,Delivered
S0000-00443,SP10,P09,G2,2-Jan-23,945,56,Delivered
S0000-00445,SP10,P18,G2,2-Jan-23,7787.25,300,Delivered
S0000-00447,SP10,P12,G3,2-Jan-23,4853.25,221,Delivered
S0000-00448,SP10,P04,G3,2-Jan-23,5382,598,Delivered
S0000-00450,SP10,P16,G5,2-Jan-23,6718.5,960,Delivered
S0000-00451,SP10,P19,G2,2-Jan-23,8460,353,Delivered
S0000-00453,SP10,P03,G1,2-Jan-23,5096.25,284,Delivered
S0000-00454,SP10,P22,G3,2-Jan-23,6437.25,322,Delivered
S0000-00458,SP10,P08,G2,2-Jan-23,1278,117,Delivered
S0000-00461,SP10,P08,G6,2-Jan-23,12190.5,938,Delivered
S0000-00462,SP11,P04,G3,2-Jan-23,5787,643,Delivered
S0000-00466,SP11,P06,G1,2-Jan-23,9438.75,350,Cancelled
S0000-00469,SP11,P19,G3,2-Jan-23,1896.75,76,Delivered
S0000-00471,SP11,P18,G6,2-Jan-23,7710.75,297,Delivered
S0000-00475,SP12,P05,G1,2-Jan-23,7764.75,457,Delivered
S0000-00479,SP12,P06,G2,2-Jan-23,8511.75,316,Delivered
S0000-00482,SP12,P05,G1,2-Jan-23,8444.25,528,Delivered
S0000-00483,SP12,P17,G6,2-Jan-23,15174,1686,Delivered
S0000-00485,SP14,P04,G2,2-Jan-23,4452.75,557,Delivered
S0000-00490,SP14,P07,G5,2-Jan-23,8113.5,625,Delivered
S0000-00495,SP14,P22,G1,2-Jan-23,2043,108,Delivered
S0000-00497,SP15,P04,G4,2-Jan-23,15300,1700,Delivered
S0000-00500,SP15,P19,G6,2-Jan-23,7686,335,Delivered
S0000-00505,SP15,P12,G3,2-Jan-23,774,41,Delivered
S0000-00507,SP15,P06,G4,2-Jan-23,7454.25,299,Delivered
S0000-00512,SP15,P15,G6,2-Jan-23,12307.5,724,Delivered
S0000-00515,SP15,P15,G6,2-Jan-23,4398.75,259,Delivered
S0000-00518,SP16,P08,G5,2-Jan-23,10649.25,761,Delivered
S0000-00523,SP16,P21,G3,2-Jan-23,9906.75,708,Delivered
S0000-00527,SP16,P14,G5,2-Jan-23,582.75,39,Delivered
S0000-00531,SP17,P12,G6,2-Jan-23,5877,268,Delivered
S0000-00534,SP17,P20,G6,2-Jan-23,10127.25,1013,Delivered
S0000-00538,SP17,P07,G1,2-Jan-23,4180.5,262,Delivered
S0000-00541,SP19,P21,G1,2-Jan-23,19559.25,1304,Delivered
S0000-00545,SP19,P05,G4,2-Jan-23,234,15,Delivered
S0000-00550,SP19,P15,G4,2-Jan-23,1703.25,114,Delivered
S0000-00552,SP20,P17,G2,2-Jan-23,6959.25,870,Delivered
S0000-00553,SP20,P02,G6,2-Jan-23,12010.5,707,Delivered
S0000-00556,SP20,P22,G3,2-Jan-23,7364.25,434,Delivered
S0000-00560,SP20,P06,G4,2-Jan-23,4842,173,Delivered
S0000-00563,SP20,P09,G6,2-Jan-23,4518,283,Delivered
S0000-00568,SP21,P19,G3,2-Jan-23,1140.75,50,Delivered
S0000-00569,SP21,P20,G4,2-Jan-23,3503.25,319,Delivered
S0000-00574,SP21,P19,G1,2-Jan-23,2002.5,78,Delivered
S0000-00579,SP22,P14,G4,2-Jan-23,1082.25,73,Delivered
S0000-00584,SP22,P04,G4,2-Jan-23,8883,1269,Delivered
S0000-00589,SP22,P08,G3,2-Jan-23,425.25,33,Delivered
S0000-00592,SP22,P16,G3,2-Jan-23,173.25,29,Delivered
S0000-00595,SP22,P12,G2,2-Jan-23,12390.75,591,Delivered
S0000-00597,SP23,P03,G6,2-Jan-23,7857,492,Delivered
S0000-00599,SP23,P15,G4,2-Jan-23,675,40,Delivered
S0000-00602,SP23,P14,G2,2-Jan-23,10291.5,606,Delivered
S0000-00603,SP24,P07,G6,2-Jan-23,2130.75,153,Delivered
S0000-00608,SP24,P20,G5,2-Jan-23,4819.5,402,Delivered
S0000-00611,SP25,P21,G6,2-Jan-23,254.25,17,Delivered
S0000-00614,SP25,P17,G1,2-Jan-23,13412.25,2236,Cancelled
S0000-00615,SP01,P01,G5,3-Jan-23,3039.75,277,Delivered
S0000-00616,SP01,P07,G5,3-Jan-23,8223.75,433,Delivered
S0000-00620,SP01,P11,G1,3-Jan-23,4938.75,380,Delivered
S0000-00623,SP01,P22,G4,3-Jan-23,3010.5,116,Delivered
S0000-00625,SP02,P20,G4,3-Jan-23,1327.5,74,Delivered
S0000-00627,SP03,P08,G2,3-Jan-23,8235,1647,Delivered
S0000-00632,SP03,P13,G3,3-Jan-23,983.25,90,Cancelled
S0000-00637,SP04,P19,G1,3-Jan-23,963,41,Delivered
S0000-00638,SP04,P11,G2,3-Jan-23,4122,275,Delivered
S0000-00643,SP05,P11,G3,3-Jan-23,12253.5,817,Delivered
S0000-00644,SP05,P21,G5,3-Jan-23,1386,99,Delivered
S0000-00647,SP05,P15,G1,3-Jan-23,4799.25,283,Delivered
S0000-00652,SP05,P07,G1,3-Jan-23,7157.25,341,Delivered
S0000-00655,SP06,P05,G5,3-Jan-23,9965.25,525,Cancelled
S0000-00656,SP06,P21,G4,3-Jan-23,634.5,49,Delivered
S0000-00658,SP06,P03,G3,3-Jan-23,7951.5,531,Delivered
S0000-00660,SP06,P18,G5,3-Jan-23,119.25,5,Delivered
S0000-00664,SP06,P19,G1,3-Jan-23,1595.25,62,Delivered
S0000-00668,SP06,P11,G5,3-Jan-23,3888,260,Delivered
S0000-00671,SP06,P17,G4,3-Jan-23,8109,312,Delivered
S0000-00673,SP07,P01,G5,3-Jan-23,1617.75,180,Delivered
S0000-00676,SP07,P05,G1,3-Jan-23,8505,501,Delivered
S0000-00679,SP07,P15,G6,3-Jan-23,1314,88,Delivered
S0000-00680,SP07,P19,G5,3-Jan-23,9645.75,386,Delivered
S0000-00683,SP07,P05,G1,3-Jan-23,12156.75,760,Delivered
S0000-00688,SP07,P08,G6,3-Jan-23,6315.75,1264,Delivered
S0000-00691,SP08,P21,G1,3-Jan-23,200.25,15,Delivered
S0000-00695,SP08,P20,G1,3-Jan-23,17048.25,812,Delivered
S0000-00699,SP08,P18,G1,3-Jan-23,5442.75,195,Delivered
S0000-00700,SP08,P02,G1,3-Jan-23,5262.75,220,Delivered
S0000-00704,SP09,P01,G5,3-Jan-23,2299.5,288,Delivered
S0000-00707,SP09,P11,G5,3-Jan-23,2484,178,Delivered
S0000-00709,SP09,P20,G5,3-Jan-23,11565,643,Delivered
S0000-00710,SP09,P21,G1,3-Jan-23,11893.5,915,Delivered
S0000-00714,SP09,P21,G5,3-Jan-23,7076.25,545,Delivered
S0000-00716,SP10,P10,G4,3-Jan-23,6792.75,486,Delivered
S0000-00719,SP10,P16,G5,3-Jan-23,8815.5,441,Delivered
S0000-00724,SP10,P21,G6,3-Jan-23,8885.25,684,Delivered
S0000-00725,SP10,P13,G4,3-Jan-23,4972.5,415,Delivered
S0000-00728,SP10,P02,G2,3-Jan-23,5244.75,250,Delivered
S0000-00729,SP11,P21,G5,3-Jan-23,2832.75,258,Delivered
S0000-00730,SP11,P18,G6,3-Jan-23,4864.5,181,Delivered
S0000-00733,SP11,P10,G5,3-Jan-23,5811.75,416,Delivered
S0000-00738,SP11,P17,G1,3-Jan-23,918,37,Delivered
S0000-00739,SP11,P21,G2,3-Jan-23,571.5,48,Delivered
S0000-00743,SP11,P06,G5,3-Jan-23,4169.25,261,Delivered
S0000-00745,SP11,P07,G1,3-Jan-23,5073.75,242,Delivered
S0000-00748,SP11,P14,G1,3-Jan-23,10932.75,456,Delivered
S0000-00750,SP11,P09,G1,3-Jan-23,4637.25,773,Delivered
S0000-00751,SP12,P14,G1,3-Jan-23,362.25,14,Delivered
S0000-00755,SP12,P20,G5,3-Jan-23,1323,63,Delivered
S0000-00758,SP13,P10,G6,3-Jan-23,5746.5,479,Delivered
S0000-00761,SP13,P12,G1,3-Jan-23,6027.75,224,Delivered
S0000-00765,SP13,P19,G5,3-Jan-23,7803,326,Delivered
S0000-00770,SP13,P12,G1,3-Jan-23,7832.25,280,Delivered
S0000-00775,SP13,P21,G4,3-Jan-23,6849,623,Delivered
S0000-00779,SP14,P15,G4,3-Jan-23,3215.25,179,Delivered
S0000-00781,SP14,P13,G1,3-Jan-23,9578.25,958,Delivered
S0000-00785,SP14,P13,G4,3-Jan-23,1003.5,78,Delivered
S0000-00790,SP14,P20,G4,3-Jan-23,175.5,10,Delivered
S0000-00791,SP15,P18,G5,3-Jan-23,5139,206,Delivered
S0000-00796,SP15,P03,G1,3-Jan-23,4317.75,270,Delivered
S0000-00798,SP15,P08,G1,3-Jan-23,4284,612,Delivered
S0000-00802,SP16,P10,G1,3-Jan-23,6374.25,580,Delivered
S0000-00803,SP16,P12,G2,3-Jan-23,11301.75,404,Delivered
S0000-00805,SP16,P17,G5,3-Jan-23,1658.25,70,Delivered
S0000-00808,SP16,P10,G3,3-Jan-23,3458.25,289,Delivered
S0000-00811,SP16,P16,G1,3-Jan-23,4959,226,Delivered
S0000-00816,SP16,P08,G1,3-Jan-23,9191.25,1532,Delivered
S0000-00820,SP17,P19,G6,3-Jan-23,4347,189,Delivered
S0000-00822,SP17,P16,G3,3-Jan-23,1939.5,103,Delivered
S0000-00827,SP17,P12,G1,3-Jan-23,4893.75,182,Delivered
S0000-00828,SP17,P18,G4,3-Jan-23,5337,214,Delivered
S0000-00829,SP17,P17,G4,3-Jan-23,1244.25,48,Delivered
S0000-00831,SP18,P17,G4,3-Jan-23,8473.5,326,Delivered
S0000-00834,SP18,P20,G1,3-Jan-23,4725,225,Delivered
S0000-00836,SP19,P18,G1,3-Jan-23,7017.75,251,Delivered
S0000-00837,SP19,P20,G1,3-Jan-23,2463.75,124,Delivered
S0000-00839,SP19,P20,G4,3-Jan-23,6014.25,335,Delivered
S0000-00842,SP19,P19,G1,3-Jan-23,2326.5,97,Delivered
S0000-00846,SP19,P04,G4,3-Jan-23,11893.5,1082,Delivered
S0000-00848,SP19,P15,G1,3-Jan-23,7402.5,436,Delivered
S0000-00850,SP19,P16,G6,3-Jan-23,6084,305,Delivered
S0000-00855,SP19,P11,G2,3-Jan-23,1143,82,Delivered
S0000-00860,SP19,P11,G2,3-Jan-23,6590.25,440,Delivered
S0000-00862,SP19,P10,G2,3-Jan-23,9819,702,Cancelled
S0000-00863,SP19,P08,G1,3-Jan-23,4781.25,797,Delivered
S0000-00866,SP20,P20,G1,3-Jan-23,2097,105,Delivered
S0000-00867,SP20,P01,G6,3-Jan-23,3033,276,Delivered
S0000-00869,SP20,P13,G2,3-Jan-23,17158.5,1320,Delivered
S0000-00874,SP20,P14,G3,3-Jan-23,5600.25,234,Delivered
S0000-00879,SP20,P20,G1,3-Jan-23,1633.5,91,Delivered
S0000-00880,SP20,P03,G4,3-Jan-23,2020.5,127,Delivered
S0000-00882,SP21,P19,G4,3-Jan-23,1352.25,59,Delivered
S0000-00884,SP21,P03,G1,3-Jan-23,231.75,17,Delivered
S0000-00886,SP21,P15,G1,3-Jan-23,2864.25,180,Delivered
S0000-00891,SP21,P21,G4,3-Jan-23,4635,332,Delivered
S0000-00892,SP21,P02,G5,3-Jan-23,1102.5,53,Delivered
S0000-00893,SP22,P21,G5,3-Jan-23,7521.75,538,Delivered
S0000-00898,SP22,P08,G5,3-Jan-23,3834,548,Delivered
S0000-00900,SP22,P11,G5,3-Jan-23,3440.25,246,Delivered
S0000-00903,SP22,P22,G6,3-Jan-23,1849.5,81,Delivered
S0000-00906,SP22,P17,G2,3-Jan-23,11542.5,481,Delivered
S0000-00911,SP22,P02,G2,3-Jan-23,2844,130,Delivered
S0000-00913,SP22,P01,G4,3-Jan-23,5388.75,539,Delivered
S0000-00917,SP22,P16,G5,3-Jan-23,4191.75,210,Delivered
S0000-00919,SP22,P03,G2,3-Jan-23,639,43,Delivered
S0000-00923,SP22,P20,G2,3-Jan-23,14773.5,739,Cancelled
S0000-00926,SP22,P06,G1,3-Jan-23,11358,758,Delivered
S0000-00927,SP22,P12,G4,3-Jan-23,6495.75,260,Cancelled
S0000-00928,SP22,P08,G4,3-Jan-23,2171.25,435,Delivered
S0000-00931,SP23,P13,G4,3-Jan-23,1849.5,143,Delivered
S0000-00934,SP23,P20,G4,3-Jan-23,6738.75,321,Delivered
S0000-00937,SP23,P13,G4,3-Jan-23,60.75,6,Delivered
S0000-00939,SP23,P08,G4,3-Jan-23,2668.5,334,Delivered
S0000-00942,SP24,P21,G4,3-Jan-23,1163.25,84,Delivered
S0000-00946,SP24,P17,G5,3-Jan-23,3129.75,126,Delivered
S0000-00947,SP24,P11,G3,3-Jan-23,2643.75,204,Delivered
S0000-00948,SP24,P17,G2,3-Jan-23,3069,119,Cancelled
S0000-00953,SP25,P03,G2,3-Jan-23,686.25,43,Delivered
S0000-00955,SP25,P13,G1,3-Jan-23,918,77,Delivered
S0000-00956,SP25,P09,G5,3-Jan-23,15633,1737,Delivered
S0000-00958,SP04,P06,G6,3-Jan-23,5116.5,183,Delivered
S0000-00959,SP04,P07,G1,3-Jan-23,2452.5,164,Delivered
S0000-00962,SP04,P13,G5,3-Jan-23,3669.75,459,Delivered
S0000-00966,SP04,P16,G6,3-Jan-23,16130.25,2305,Delivered
S0000-00967,SP05,P11,G6,3-Jan-23,11342.25,946,Delivered
S0000-00970,SP05,P09,G6,3-Jan-23,7301.25,406,Delivered
S0000-00974,SP05,P06,G1,3-Jan-23,1392.75,52,Delivered
S0000-00978,SP05,P19,G1,3-Jan-23,10701,412,Delivered
S0000-00979,SP05,P06,G6,3-Jan-23,19192.5,739,Delivered
S0000-00983,SP05,P06,G6,3-Jan-23,312.75,12,Delivered
S0000-00988,SP05,P04,G6,3-Jan-23,3739.5,468,Delivered
S0000-00993,SP06,P06,G1,3-Jan-23,5823,216,Delivered
S0000-00998,SP06,P05,G2,3-Jan-23,5715,358,Delivered
S0000-01000,SP06,P13,G5,3-Jan-23,2623.5,328,Delivered
S0000-01002,SP06,P18,G2,3-Jan-23,5033.25,210,Delivered
S0000-01005,SP06,P05,G1,3-Jan-23,9279,580,Delivered
S0000-01006,SP06,P08,G2,3-Jan-23,7461,679,Delivered
S0000-01011,SP06,P15,G5,3-Jan-23,1102.5,74,Delivered
S0000-01016,SP06,P21,G3,3-Jan-23,4972.5,356,Delivered
S0000-01019,SP06,P12,G4,3-Jan-23,11277,513,Delivered
S0000-01020,SP07,P21,G5,3-Jan-23,1971,152,Delivered
S0000-01021,SP07,P01,G3,3-Jan-23,1003.5,84,Delivered
S0000-01026,SP07,P04,G6,3-Jan-23,5496.75,688,Delivered
S0000-01031,SP07,P19,G1,3-Jan-23,6050.25,253,Delivered
S0000-01033,SP08,P21,G3,3-Jan-23,4443.75,297,Delivered
S0000-01036,SP08,P22,G3,3-Jan-23,5343.75,315,Delivered
S0000-01040,SP08,P04,G6,3-Jan-23,11200.5,1601,Delivered
S0000-01042,SP08,P08,G1,3-Jan-23,3186,290,Cancelled
S0000-01047,SP09,P22,G2,3-Jan-23,4124.25,207,Delivered
S0000-01049,SP09,P16,G6,3-Jan-23,306,62,Delivered
S0000-01050,SP09,P09,G2,3-Jan-23,16420.5,865,Delivered
S0000-01054,SP10,P07,G4,3-Jan-23,9483.75,593,Delivered
S0000-01058,SP10,P07,G1,3-Jan-23,5076,318,Delivered
S0000-01062,SP10,P11,G3,3-Jan-23,6277.5,524,Delivered
S0000-01065,SP10,P14,G2,3-Jan-23,6853.5,404,Delivered
S0000-01066,SP10,P19,G3,3-Jan-23,15588,600,Delivered
S0000-01067,SP11,P10,G5,3-Jan-23,3969,249,Delivered
S0000-01070,SP11,P14,G6,3-Jan-23,1397.25,83,Cancelled
S0000-01074,SP11,P08,G4,3-Jan-23,1552.5,130,Delivered
S0000-01077,SP11,P13,G1,3-Jan-23,4011.75,574,Delivered
S0000-01078,SP11,P02,G4,3-Jan-23,11497.5,677,Delivered
S0000-01081,SP11,P08,G2,3-Jan-23,5910.75,538,Delivered
S0000-01085,SP12,P21,G2,3-Jan-23,7868.25,492,Delivered
S0000-01087,SP12,P02,G2,3-Jan-23,578.25,33,Delivered
S0000-01088,SP12,P19,G5,3-Jan-23,1201.5,53,Delivered
S0000-01092,SP12,P11,G5,3-Jan-23,6279.75,484,Delivered
S0000-01095,SP12,P21,G3,3-Jan-23,16312.5,1255,Delivered
S0000-01096,SP14,P04,G6,3-Jan-23,387,49,Delivered
S0000-01098,SP14,P06,G1,3-Jan-23,2265.75,91,Delivered
S0000-01099,SP15,P22,G1,3-Jan-23,4133.25,218,Delivered
S0000-01101,SP15,P03,G3,3-Jan-23,1361.25,76,Delivered
S0000-01106,SP15,P19,G6,3-Jan-23,13761,599,Delivered
S0000-01111,SP15,P18,G4,3-Jan-23,5274,211,Delivered
S0000-01114,SP15,P03,G4,3-Jan-23,2547,150,Delivered
S0000-01115,SP15,P17,G1,3-Jan-23,10917,1560,Delivered
S0000-01118,SP16,P06,G2,3-Jan-23,3550.5,132,Delivered
S0000-01120,SP16,P07,G4,3-Jan-23,2380.5,184,Delivered
S0000-01121,SP17,P16,G1,3-Jan-23,4749.75,594,Delivered
